feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,label,file_path
-216.51089477539065,108.00418090820312,-12.571585655212402,44.1595344543457,-11.778420448303224,37.8065071105957,-15.777236938476562,6.4362993240356445,-0.9473800659179688,2.538758993148804,-6.281610488891602,5.742786407470703,-8.272099494934082,-1.223081111907959,4.897688865661621,-9.6092529296875,1.7933502197265625,-0.7108989357948303,0.6503501534461975,-4.155211925506592,3677.434335327186,0.1079933681672025,92.28515625,-26.978179931640625,-24.539674758911133,-27.273340225219727,-29.667768478393555,-30.93612098693848,-31.744272232055664,-31.83936882019043,-34.623592376708984,-37.3775634765625,-39.28287506103516,-39.73700714111328,-39.8438835144043,-40.76551818847656,-41.41625213623047,-42.82518005371094,-43.79161834716797,-44.03923034667969,-43.7526741027832,-44.33903884887695,-44.53390121459961,-44.433326721191406,-44.73417282104492,-45.29317474365234,-44.45244598388672,-43.832176208496094,-43.88558197021485,-44.339385986328125,-44.81666946411133,-44.560455322265625,-43.7160758972168,-43.40203475952149,-45.55403900146485,-48.58111572265625,-49.19699478149414,-48.84892654418945,-47.92110824584961,-48.38663864135742,-50.00673294067383,-50.78971099853516,-52.9886589050293,-53.8867073059082,-54.35547637939453,-55.53361892700195,-54.4952278137207,-49.928104400634766,-47.76984405517578,-46.82125473022461,-47.229637145996094,-50.12495040893555,-50.93061828613281,-51.20885848999024,-53.43700408935547,-54.90249633789063,-55.0594367980957,-56.575775146484375,-57.66451644897461,-57.48590087890625,-59.552188873291016,-64.33170318603516,-70.05501556396484,-77.4018325805664,-79.3744125366211,-80.0,-80.0,1,elevenlabs_Callum_6_3ff4793c.mp3
-143.9889678955078,90.6343994140625,-17.47588348388672,21.63950729370117,-15.964823722839355,-21.136125564575195,-26.583635330200195,-13.288131713867188,-1.274057149887085,5.196991443634033,3.425830364227295,2.436156749725342,-5.801806449890137,8.044610023498535,-7.008769989013672,-0.0378034189343452,2.6003003120422363,-0.8341965675354004,1.795950174331665,-1.935716271400452,1743.279244539846,0.1290871386955205,117.1875,-38.3940658569336,-47.17440414428711,-41.38459014892578,-35.724552154541016,-35.7002067565918,-35.541046142578125,-33.61570358276367,-30.817588806152344,-29.50426483154297,-30.432615280151367,-29.728200912475582,-27.670175552368164,-25.85161018371582,-30.039331436157227,-34.65322494506836,-37.74296569824219,-37.6827278137207,-38.67778015136719,-42.36014938354492,-46.864070892333984,-48.41121673583984,-46.12800598144531,-45.73442077636719,-46.743465423583984,-46.02025985717773,-44.38689422607422,-45.19932174682617,-45.49118423461914,-41.53108596801758,-41.13665390014648,-42.5219955444336,-42.53570556640625,-43.746219635009766,-42.91534805297852,-45.46109390258789,-47.08860397338867,-44.64019775390625,-44.01910400390625,-44.34761428833008,-45.54986190795898,-45.18331146240234,-47.02652740478516,-48.57505035400391,-49.00999450683594,-48.78276824951172,-52.20012664794922,-51.77030563354492,-52.0416145324707,-48.70209884643555,-47.66492462158203,-51.62643814086914,-55.34162139892578,-58.05840301513672,-58.87820053100586,-59.020790100097656,-60.27301025390625,-59.31015396118164,-58.36690902709961,-59.38434982299805,-60.034664154052734,-62.36888122558594,-62.59245300292969,-64.0973129272461,-67.05055236816406,0,19-227-0023.wav
-196.31919860839844,125.88350677490234,4.257406234741211,28.43975830078125,-0.3977000117301941,10.239331245422363,-32.36150360107422,-6.296178817749023,-13.42755126953125,-11.841309547424316,-9.540945053100586,0.404921293258667,-11.655503273010254,-2.591038942337036,-7.036420822143555,0.7475640177726746,-7.810772895812988,-7.070207118988037,-3.5133416652679443,-6.537064075469971,1646.311713767676,0.0793800278465346,100.44642857142856,-41.13224411010742,-18.599573135375977,-21.66617774963379,-23.65375518798828,-22.999473571777344,-25.479604721069336,-22.48760414123535,-23.31439971923828,-23.905160903930664,-27.099424362182617,-30.06832504272461,-32.12353515625,-33.83924102783203,-36.73859786987305,-38.93529510498047,-41.1055793762207,-42.0665168762207,-43.387020111083984,-43.50242233276367,-44.4386100769043,-44.84030532836914,-45.7685775756836,-45.75399017333984,-45.00463485717773,-44.08746719360352,-44.29777145385742,-44.42395782470703,-44.33709716796875,-45.08689498901367,-45.91640090942383,-46.47442626953125,-46.41776657104492,-46.07699203491211,-45.60936737060547,-45.300540924072266,-46.05299758911133,-49.06624984741211,-51.37096405029297,-52.62799072265625,-54.01305770874024,-56.04501724243164,-57.32421112060547,-57.23678207397461,-56.50875854492188,-56.32999801635742,-57.12277221679688,-57.34596252441406,-56.42131805419922,-54.52182388305664,-53.2549057006836,-53.81973648071289,-55.56963348388672,-56.22245407104492,-58.71553802490234,-60.87929153442383,-60.15948486328125,-59.74820709228516,-60.94465637207031,-62.636138916015625,-65.20655822753906,-67.6129379272461,-69.41254425048828,-70.85173797607422,-76.35494232177734,1,donald-pump.wav
-334.4897155761719,159.7228240966797,-3.5336599349975586,7.261611938476562,17.230817794799805,1.82655680179596,-8.22248649597168,-4.946380615234375,7.019516468048096,-1.5243878364562988,-4.468583583831787,-4.31620979309082,-11.53804874420166,-4.216643810272217,3.358372211456299,-1.665415644645691,-4.275481224060059,-2.0639567375183105,-3.5582845211029053,-4.032464027404785,1496.296044659744,0.0440402716844073,84.72079918032787,-36.12221908569336,-31.08362197875977,-30.766599655151367,-33.46991729736328,-37.38753509521485,-34.91228103637695,-35.293819427490234,-37.86860656738281,-40.127174377441406,-41.53385543823242,-42.74502944946289,-42.27180862426758,-43.65262985229492,-45.02641677856445,-45.1116828918457,-44.58892059326172,-45.34538650512695,-46.05533599853516,-47.286888122558594,-50.404056549072266,-51.72365951538086,-52.746238708496094,-55.06760787963867,-54.114871978759766,-51.81486511230469,-49.99915313720703,-50.483848571777344,-52.14616012573242,-52.03561019897461,-49.86403274536133,-52.48413848876953,-54.7934799194336,-56.06481552124024,-58.12124252319336,-57.18573760986328,-56.94656753540039,-58.14117431640625,-62.777252197265625,-64.66007232666016,-65.12265014648438,-69.70250701904297,-70.7065200805664,-69.59716033935547,-71.69414520263672,-72.34322357177734,-70.74637603759766,-68.721435546875,-72.13892364501953,-75.05442810058594,-75.61442565917969,-76.07682800292969,-76.42864990234375,-78.71778106689453,-79.41593170166016,-79.81029510498047,-79.97281646728516,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,0,processed_20250322_110350.wav
-216.51089477539065,108.00418090820312,-12.571585655212402,44.1595344543457,-11.778420448303224,37.8065071105957,-15.777236938476562,6.4362993240356445,-0.9473800659179688,2.538758993148804,-6.281610488891602,5.742786407470703,-8.272099494934082,-1.223081111907959,4.897688865661621,-9.6092529296875,1.7933502197265625,-0.7108989357948303,0.6503501534461975,-4.155211925506592,3677.434335327186,0.1079933681672025,92.28515625,-26.978179931640625,-24.539674758911133,-27.273340225219727,-29.667768478393555,-30.93612098693848,-31.744272232055664,-31.83936882019043,-34.623592376708984,-37.3775634765625,-39.28287506103516,-39.73700714111328,-39.8438835144043,-40.76551818847656,-41.41625213623047,-42.82518005371094,-43.79161834716797,-44.03923034667969,-43.7526741027832,-44.33903884887695,-44.53390121459961,-44.433326721191406,-44.73417282104492,-45.29317474365234,-44.45244598388672,-43.832176208496094,-43.88558197021485,-44.339385986328125,-44.81666946411133,-44.560455322265625,-43.7160758972168,-43.40203475952149,-45.55403900146485,-48.58111572265625,-49.19699478149414,-48.84892654418945,-47.92110824584961,-48.38663864135742,-50.00673294067383,-50.78971099853516,-52.9886589050293,-53.8867073059082,-54.35547637939453,-55.53361892700195,-54.4952278137207,-49.928104400634766,-47.76984405517578,-46.82125473022461,-47.229637145996094,-50.12495040893555,-50.93061828613281,-51.20885848999024,-53.43700408935547,-54.90249633789063,-55.0594367980957,-56.575775146484375,-57.66451644897461,-57.48590087890625,-59.552188873291016,-64.33170318603516,-70.05501556396484,-77.4018325805664,-79.3744125366211,-80.0,-80.0,1,elevenlabs_Callum_6_3ff4793c.mp3
-239.8440704345703,106.28154754638672,-22.686697006225582,28.56621551513672,10.33225154876709,-14.694169998168944,-9.519290924072266,-11.11888027191162,-30.61777877807617,1.4988338947296145,-7.4718194007873535,-7.9103617668151855,-2.4410829544067383,-1.7741456031799316,-13.145828247070312,2.299344539642334,-8.122066497802734,-7.852600574493408,-0.3982136845588684,-4.011763095855713,2151.0525659161867,0.1021582645440251,112.5,-53.160377502441406,-38.0971565246582,-31.41135025024414,-33.16630935668945,-35.55188751220703,-33.085289001464844,-32.12113952636719,-33.35395050048828,-34.84076690673828,-35.143985748291016,-36.3255615234375,-40.27853393554688,-41.954586029052734,-43.90530014038086,-47.24393844604492,-48.34307861328125,-48.99371719360352,-50.93326950073242,-51.193939208984375,-50.570499420166016,-49.57186508178711,-48.83881378173828,-47.94654083251953,-47.794090270996094,-47.808223724365234,-47.590240478515625,-47.88852310180664,-47.25234603881836,-47.27486801147461,-48.3629035949707,-49.34103775024414,-49.83699798583984,-50.36373519897461,-50.95316696166992,-50.060672760009766,-48.705074310302734,-49.048282623291016,-51.0028076171875,-51.982948303222656,-50.01333618164063,-47.58823013305664,-46.04916763305664,-47.58453750610352,-51.59035873413086,-57.77571868896485,-62.85736846923828,-65.62596130371094,-66.0796127319336,-65.10086822509766,-64.4600830078125,-65.3730239868164,-67.58380126953125,-68.25888061523438,-66.66577911376953,-65.86201477050781,-66.40911102294922,-67.89020538330078,-67.54259490966797,-67.01732635498047,-67.70743560791016,-68.46915435791016,-69.85833740234375,-72.61225891113281,-77.2209701538086,1,mrbeast.wav
-253.9632873535156,125.11556243896484,-34.49652862548828,48.51875305175781,27.43522071838379,30.92360115051269,-7.053647994995117,4.656214237213135,0.9914370179176332,-8.954300880432129,-6.062509059906006,1.508291244506836,-7.051979064941406,-5.643751621246338,1.210241198539734,-3.686485767364502,-2.2036831378936768,-2.777040719985962,5.086740016937256,-6.306740760803223,2817.916897105112,0.0782624772451456,147.65625,-25.20532989501953,-21.103485107421875,-24.835838317871094,-26.32549476623535,-27.602725982666016,-29.54394149780273,-32.19020080566406,-35.2064208984375,-37.69754409790039,-40.35138702392578,-44.60931015014648,-47.30455780029297,-47.19365310668945,-47.3193359375,-48.01148223876953,-48.39801025390625,-48.75722122192383,-48.43993377685547,-47.73760986328125,-46.63894271850586,-46.31922149658203,-45.65686798095703,-44.70779037475586,-43.32174301147461,-42.66796875,-42.67745971679688,-42.72247314453125,-42.95439529418945,-41.71234130859375,-39.70710754394531,-39.508426666259766,-42.12563705444336,-44.11581802368164,-43.011207580566406,-41.657012939453125,-40.26833724975586,-41.25896453857422,-45.387428283691406,-51.41311264038086,-53.73684310913086,-54.14405822753906,-53.572635650634766,-55.06908798217773,-55.04267501831055,-54.94032669067383,-56.81116485595703,-56.02427291870117,-56.14904022216797,-56.2645263671875,-56.26233673095703,-59.23231887817383,-62.99040985107422,-63.3914794921875,-63.582611083984375,-65.9908447265625,-66.53280639648438,-67.6452407836914,-69.84092712402344,-72.48979949951172,-76.4297866821289,-79.43720245361328,-79.93925476074219,-80.0,-80.0,1,elevenlabs_Roger_0fefe382.mp3
-309.7929992675781,92.77245330810548,-22.96502494812012,42.61422729492188,-7.5917463302612305,28.868804931640625,-2.26267957687378,-12.856027603149414,-0.3828651905059814,-5.73414421081543,-11.376885414123535,-13.861509323120115,-10.148649215698242,-11.282573699951172,-5.715556144714356,-8.699127197265625,-6.6513848304748535,-5.893908977508545,-5.608188152313232,-4.369116306304932,3299.653308611824,0.1045349750322165,103.359375,-52.94041061401367,-36.03677368164063,-29.836822509765625,-32.27075958251953,-34.67454147338867,-34.937095642089844,-37.09994125366211,-41.79262924194336,-45.78225326538086,-49.04430389404297,-50.441627502441406,-50.565425872802734,-51.68039321899414,-52.085880279541016,-50.999359130859375,-51.06178665161133,-52.78860855102539,-51.06710433959961,-50.5939826965332,-51.67763519287109,-51.59278869628906,-52.67593765258789,-52.27519989013672,-51.56988906860352,-50.56304550170898,-49.76700973510742,-49.000091552734375,-48.90595626831055,-49.10367202758789,-50.68696594238281,-51.97769927978516,-51.75576400756836,-52.18888092041016,-55.38188552856445,-57.99253082275391,-58.04613876342773,-57.25690460205078,-57.045536041259766,-57.84916687011719,-58.93193817138672,-57.92029571533203,-56.066104888916016,-55.75456619262695,-55.74855041503906,-53.66587829589844,-54.42028427124024,-55.33758544921875,-54.70325469970703,-55.85701751708984,-58.60293197631836,-60.356727600097656,-61.04904556274414,-62.148868560791016,-64.77686309814453,-67.4564208984375,-69.40009307861328,-71.6282958984375,-74.58543395996094,-76.572265625,-78.7263412475586,-79.84181213378906,-79.9848403930664,-80.0,-80.0,1,elevenlabs_Aria_4d5dc2.mp3
-261.7488708496094,85.3249740600586,3.4011874198913574,46.41719055175781,12.581666946411133,16.237594604492188,-8.126887321472168,-5.39579963684082,-8.07938289642334,3.051971673965454,-4.355908393859863,-5.640044689178467,-3.3105056285858154,0.3169470131397247,-1.358287334442139,-8.615776062011719,3.395355701446533,-3.2339096069335938,-5.5040059089660645,-3.445651769638061,1445.011286522093,0.1113850546524663,117.1875,-40.496883392333984,-29.28620338439941,-28.693666458129883,-31.091909408569336,-32.8344612121582,-36.341941833496094,-37.84209442138672,-38.86314392089844,-39.2103271484375,-40.77552032470703,-45.29750442504883,-48.28327178955078,-49.35433578491211,-50.3306884765625,-51.72304916381836,-52.90370178222656,-53.90036392211914,-55.70555877685547,-55.80455780029297,-55.725399017333984,-55.50905990600586,-54.85439300537109,-54.23435592651367,-54.42718124389648,-54.01979446411133,-53.31368637084961,-51.58644485473633,-50.29290008544922,-50.52141571044922,-51.12470245361328,-50.97309112548828,-51.284481048583984,-51.66825485229492,-53.37671661376953,-54.8353157043457,-57.78071594238281,-57.16830062866211,-53.97248077392578,-52.05820083618164,-52.13136672973633,-53.09305953979492,-55.6299934387207,-57.45481491088867,-57.49563980102539,-56.4800033569336,-55.60997772216797,-56.57027816772461,-57.59931564331055,-58.248661041259766,-59.13465118408203,-60.281864166259766,-61.75960922241211,-61.635379791259766,-61.39173126220703,-61.90039825439453,-62.63819885253906,-62.92551803588867,-64.28076934814453,-66.98670196533203,-69.12226867675781,-71.92552947998047,-73.06580352783203,-72.56682586669922,-71.56538391113281,0,2514-149482-0061.wav
-375.8148193359375,120.98702239990234,-4.4823527336120605,26.73238945007324,34.09074020385742,19.847909927368164,-1.5136932134628296,-11.88937759399414,-2.50362515449524,-1.5104764699935913,4.340651035308838,-0.0321535840630531,-3.733840227127075,2.574711322784424,1.268612027168274,2.587524652481079,-1.440704584121704,-9.596896171569824,-4.388153553009033,-0.4762391149997711,2342.3925188216003,0.066602031437575,90.66611842105264,-36.44464111328125,-30.065364837646484,-33.23591232299805,-36.12297821044922,-43.949893951416016,-46.98624420166016,-45.12190628051758,-45.09303665161133,-44.73974990844727,-45.51367568969727,-50.84540939331055,-55.766151428222656,-56.42391204833984,-56.65974044799805,-58.815914154052734,-61.3512077331543,-63.0622673034668,-60.614383697509766,-59.73936462402344,-60.84672164916992,-59.8018798828125,-60.11796188354492,-60.94007110595703,-56.71181106567383,-53.39769744873047,-53.1572265625,-52.27909469604492,-53.0557975769043,-54.36734771728516,-56.20302963256836,-56.504730224609375,-58.31686401367188,-59.10001373291016,-60.69765853881836,-60.55196762084961,-59.10495376586914,-61.700714111328125,-67.31201934814453,-68.23360443115234,-64.77618408203125,-63.81474304199219,-66.3641357421875,-70.49980163574219,-72.9330062866211,-73.31779479980469,-72.59042358398438,-70.10781860351562,-70.4891128540039,-73.39205169677734,-73.78788757324219,-74.02548217773438,-74.74842071533203,-77.65760040283203,-78.4565200805664,-79.23727416992188,-79.87181854248047,-79.97251892089844,-79.99219512939453,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,0,processed_20250322_113145.wav
